Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Incubation Center,Name of the startup,Location of company,Sector,Company profile,Year,Allocation of Funds under SISFS (in Rs. crore),Funds Approved under SISFS (in Rs. crore),States/UT,2020,2021,2022,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000.0,26-05-2021,,,,,,,,,,,,,,,,,,,,,
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000.0,29-04-2021,,,,,,,,,,,,,,,,,,,,,
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000.0,23-04-2022,,,,,,,,,,,,,,,,,,,,,
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000.0,23-02-2025,,,,,,,,,,,,,,,,,,,,,
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000.0,05-11-2024,,,,,,,,,,,,,,,,,,,,,
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000.0,26-02-2020,,,,,,,,,,,,,,,,,,,,,
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000.0,08-06-2022,,,,,,,,,,,,,,,,,,,,,
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000.0,24-01-2021,,,,,,,,,,,,,,,,,,,,,
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000.0,23-05-2020,,,,,,,,,,,,,,,,,,,,,
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000.0,30-10-2021,,,,,,,,,,,,,,,,,,,,,
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000.0,08-09-2021,,,,,,,,,,,,,,,,,,,,,
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000.0,10-08-2022,,,,,,,,,,,,,,,,,,,,,
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000.0,04-08-2021,,,,,,,,,,,,,,,,,,,,,
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000.0,11-02-2021,,,,,,,,,,,,,,,,,,,,,
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000.0,13-07-2023,,,,,,,,,,,,,,,,,,,,,
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000.0,24-03-2021,,,,,,,,,,,,,,,,,,,,,
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000.0,09-08-2022,,,,,,,,,,,,,,,,,,,,,
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000.0,31-01-2025,,,,,,,,,,,,,,,,,,,,,
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000.0,03-12-2022,,,,,,,,,,,,,,,,,,,,,
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000.0,16-10-2021,,,,,,,,,,,,,,,,,,,,,
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000.0,08-11-2021,,,,,,,,,,,,,,,,,,,,,
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000.0,16-04-2024,,,,,,,,,,,,,,,,,,,,,
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000.0,23-01-2023,,,,,,,,,,,,,,,,,,,,,
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000.0,22-06-2024,,,,,,,,,,,,,,,,,,,,,
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000.0,19-09-2023,,,,,,,,,,,,,,,,,,,,,
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000.0,01-11-2021,,,,,,,,,,,,,,,,,,,,,
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000.0,16-06-2020,,,,,,,,,,,,,,,,,,,,,
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000.0,12-02-2021,,,,,,,,,,,,,,,,,,,,,
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000.0,10-08-2022,,,,,,,,,,,,,,,,,,,,,
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000.0,22-02-2020,,,,,,,,,,,,,,,,,,,,,
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000.0,28-08-2024,,,,,,,,,,,,,,,,,,,,,
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000.0,27-05-2022,,,,,,,,,,,,,,,,,,,,,
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000.0,24-08-2024,,,,,,,,,,,,,,,,,,,,,
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000.0,06-02-2024,,,,,,,,,,,,,,,,,,,,,
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000.0,13-03-2023,,,,,,,,,,,,,,,,,,,,,
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000.0,13-06-2021,,,,,,,,,,,,,,,,,,,,,
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000.0,12-04-2022,,,,,,,,,,,,,,,,,,,,,
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000.0,29-03-2021,,,,,,,,,,,,,,,,,,,,,
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000.0,07-03-2024,,,,,,,,,,,,,,,,,,,,,
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000.0,01-03-2024,,,,,,,,,,,,,,,,,,,,,
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000.0,10-12-2022,,,,,,,,,,,,,,,,,,,,,
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000.0,29-12-2022,,,,,,,,,,,,,,,,,,,,,
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000.0,21-03-2024,,,,,,,,,,,,,,,,,,,,,
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000.0,01-06-2021,,,,,,,,,,,,,,,,,,,,,
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000.0,19-07-2024,,,,,,,,,,,,,,,,,,,,,
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000.0,20-06-2023,,,,,,,,,,,,,,,,,,,,,
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000.0,17-09-2021,,,,,,,,,,,,,,,,,,,,,
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000.0,15-06-2020,,,,,,,,,,,,,,,,,,,,,
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000.0,01-05-2023,,,,,,,,,,,,,,,,,,,,,
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000.0,01-06-2024,,,,,,,,,,,,,,,,,,,,,
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000.0,19-08-2024,,,,,,,,,,,,,,,,,,,,,
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000.0,11-03-2023,,,,,,,,,,,,,,,,,,,,,
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000.0,21-10-2022,,,,,,,,,,,,,,,,,,,,,
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000.0,22-02-2020,,,,,,,,,,,,,,,,,,,,,
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000.0,28-03-2024,,,,,,,,,,,,,,,,,,,,,
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000.0,25-07-2024,,,,,,,,,,,,,,,,,,,,,
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000.0,06-11-2021,,,,,,,,,,,,,,,,,,,,,
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000.0,31-05-2021,,,,,,,,,,,,,,,,,,,,,
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000.0,21-04-2020,,,,,,,,,,,,,,,,,,,,,
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000.0,29-01-2023,,,,,,,,,,,,,,,,,,,,,
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000.0,14-07-2023,,,,,,,,,,,,,,,,,,,,,
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000.0,19-09-2024,,,,,,,,,,,,,,,,,,,,,
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000.0,20-08-2021,,,,,,,,,,,,,,,,,,,,,
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000.0,25-01-2021,,,,,,,,,,,,,,,,,,,,,
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000.0,05-11-2022,,,,,,,,,,,,,,,,,,,,,
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000.0,29-09-2022,,,,,,,,,,,,,,,,,,,,,
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000.0,21-10-2021,,,,,,,,,,,,,,,,,,,,,
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000.0,26-08-2022,,,,,,,,,,,,,,,,,,,,,
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000.0,10-11-2021,,,,,,,,,,,,,,,,,,,,,
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000.0,22-10-2020,,,,,,,,,,,,,,,,,,,,,
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000.0,25-03-2022,,,,,,,,,,,,,,,,,,,,,
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000.0,14-03-2020,,,,,,,,,,,,,,,,,,,,,
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000.0,06-04-2024,,,,,,,,,,,,,,,,,,,,,
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000.0,23-08-2021,,,,,,,,,,,,,,,,,,,,,
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000.0,10-06-2020,,,,,,,,,,,,,,,,,,,,,
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000.0,04-06-2021,,,,,,,,,,,,,,,,,,,,,
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000.0,23-06-2022,,,,,,,,,,,,,,,,,,,,,
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000.0,10-09-2021,,,,,,,,,,,,,,,,,,,,,
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000.0,03-12-2023,,,,,,,,,,,,,,,,,,,,,
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000.0,06-03-2024,,,,,,,,,,,,,,,,,,,,,
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000.0,20-10-2023,,,,,,,,,,,,,,,,,,,,,
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000.0,21-06-2022,,,,,,,,,,,,,,,,,,,,,
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000.0,27-09-2020,,,,,,,,,,,,,,,,,,,,,
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000.0,17-04-2025,,,,,,,,,,,,,,,,,,,,,
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000.0,07-04-2021,,,,,,,,,,,,,,,,,,,,,
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000.0,10-09-2020,,,,,,,,,,,,,,,,,,,,,
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000.0,23-04-2021,,,,,,,,,,,,,,,,,,,,,
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000.0,10-09-2021,,,,,,,,,,,,,,,,,,,,,
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000.0,05-01-2023,,,,,,,,,,,,,,,,,,,,,
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000.0,29-02-2024,,,,,,,,,,,,,,,,,,,,,
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000.0,29-06-2022,,,,,,,,,,,,,,,,,,,,,
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000.0,13-08-2023,,,,,,,,,,,,,,,,,,,,,
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000.0,07-08-2023,,,,,,,,,,,,,,,,,,,,,
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000.0,16-04-2024,,,,,,,,,,,,,,,,,,,,,
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000.0,24-10-2024,,,,,,,,,,,,,,,,,,,,,
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000.0,05-06-2024,,,,,,,,,,,,,,,,,,,,,
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000.0,12-05-2022,,,,,,,,,,,,,,,,,,,,,
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000.0,29-03-2021,,,,,,,,,,,,,,,,,,,,,
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000.0,07-09-2022,,,,,,,,,,,,,,,,,,,,,
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000.0,14-05-2020,,,,,,,,,,,,,,,,,,,,,
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000.0,24-05-2023,,,,,,,,,,,,,,,,,,,,,
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000.0,27-03-2022,,,,,,,,,,,,,,,,,,,,,
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000.0,30-08-2024,,,,,,,,,,,,,,,,,,,,,
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000.0,13-02-2023,,,,,,,,,,,,,,,,,,,,,
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000.0,16-01-2024,,,,,,,,,,,,,,,,,,,,,
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000.0,14-09-2022,,,,,,,,,,,,,,,,,,,,,
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000.0,11-07-2024,,,,,,,,,,,,,,,,,,,,,
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000.0,13-07-2021,,,,,,,,,,,,,,,,,,,,,
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000.0,26-02-2024,,,,,,,,,,,,,,,,,,,,,
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000.0,26-10-2021,,,,,,,,,,,,,,,,,,,,,
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000.0,17-09-2023,,,,,,,,,,,,,,,,,,,,,
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000.0,03-08-2021,,,,,,,,,,,,,,,,,,,,,
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000.0,20-04-2025,,,,,,,,,,,,,,,,,,,,,
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000.0,25-12-2020,,,,,,,,,,,,,,,,,,,,,
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000.0,30-10-2024,,,,,,,,,,,,,,,,,,,,,
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000.0,09-04-2022,,,,,,,,,,,,,,,,,,,,,
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000.0,26-02-2025,,,,,,,,,,,,,,,,,,,,,
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000.0,17-11-2024,,,,,,,,,,,,,,,,,,,,,
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000.0,22-12-2022,,,,,,,,,,,,,,,,,,,,,
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000.0,26-10-2020,,,,,,,,,,,,,,,,,,,,,
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000.0,10-07-2023,,,,,,,,,,,,,,,,,,,,,
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000.0,11-06-2025,,,,,,,,,,,,,,,,,,,,,
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000.0,05-11-2022,,,,,,,,,,,,,,,,,,,,,
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000.0,24-06-2025,,,,,,,,,,,,,,,,,,,,,
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000.0,09-06-2024,,,,,,,,,,,,,,,,,,,,,
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000.0,11-07-2022,,,,,,,,,,,,,,,,,,,,,
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000.0,20-12-2023,,,,,,,,,,,,,,,,,,,,,
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000.0,22-10-2023,,,,,,,,,,,,,,,,,,,,,
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000.0,22-01-2024,,,,,,,,,,,,,,,,,,,,,
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000.0,01-12-2023,,,,,,,,,,,,,,,,,,,,,
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000.0,24-08-2024,,,,,,,,,,,,,,,,,,,,,
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000.0,04-01-2021,,,,,,,,,,,,,,,,,,,,,
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000.0,28-08-2021,,,,,,,,,,,,,,,,,,,,,
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000.0,11-11-2020,,,,,,,,,,,,,,,,,,,,,
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000.0,17-10-2023,,,,,,,,,,,,,,,,,,,,,
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000.0,01-02-2021,,,,,,,,,,,,,,,,,,,,,
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000.0,07-05-2022,,,,,,,,,,,,,,,,,,,,,
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000.0,29-07-2020,,,,,,,,,,,,,,,,,,,,,
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000.0,14-06-2022,,,,,,,,,,,,,,,,,,,,,
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000.0,25-10-2022,,,,,,,,,,,,,,,,,,,,,
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000.0,24-08-2023,,,,,,,,,,,,,,,,,,,,,
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000.0,18-08-2022,,,,,,,,,,,,,,,,,,,,,
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000.0,29-01-2024,,,,,,,,,,,,,,,,,,,,,
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000.0,13-06-2024,,,,,,,,,,,,,,,,,,,,,
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000.0,23-03-2023,,,,,,,,,,,,,,,,,,,,,
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000.0,14-03-2023,,,,,,,,,,,,,,,,,,,,,
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000.0,05-11-2022,,,,,,,,,,,,,,,,,,,,,
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000.0,18-05-2020,,,,,,,,,,,,,,,,,,,,,
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000.0,22-12-2021,,,,,,,,,,,,,,,,,,,,,
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000.0,09-05-2020,,,,,,,,,,,,,,,,,,,,,
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000.0,27-07-2024,,,,,,,,,,,,,,,,,,,,,
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000.0,25-06-2024,,,,,,,,,,,,,,,,,,,,,
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000.0,15-10-2022,,,,,,,,,,,,,,,,,,,,,
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000.0,11-08-2024,,,,,,,,,,,,,,,,,,,,,
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000.0,09-01-2024,,,,,,,,,,,,,,,,,,,,,
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000.0,16-07-2021,,,,,,,,,,,,,,,,,,,,,
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000.0,19-10-2020,,,,,,,,,,,,,,,,,,,,,
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000.0,28-04-2025,,,,,,,,,,,,,,,,,,,,,
