Year,Startup,Sector,City,Investment_Type,Funding_Amount_MillionUSD,Funding_Amount_USD
2015,Startup_51,AgriTech,Bengaluru,Series D,46.47,46470000.0
2015,Startup_52,E-commerce,Chennai,Seed,750.68,750680000.0
2015,Startup_53,SaaS,Kolkata,Series F,703.09,703090000.0
2015,Startup_54,SaaS,Noida,Series C,399.92,399920000.0
2015,Startup_55,CleanTech,Mumbai,Series A,701.75,701750000.0
2015,Startup_56,AgriTech,Bengaluru,Private Equity,153.4,153400000.0
2015,Startup_57,EdTech,Chennai,Series A,689.04,689040000.0
2015,Startup_58,E-commerce,Noida,Private Equity,120.56,120560000.0
2015,Startup_59,Gaming,Mumbai,Series C,452.46,452460000.0
2015,Startup_60,CleanTech,Mumbai,Seed,222.26,222260000.0
2015,Startup_61,EdTech,Delhi,Series C,775.99,775990000.0
2015,Startup_62,E-commerce,Hyderabad,Series E,525.83,525830000.00000006
2015,Startup_63,Mobility,Chennai,Series F,554.81,554810000.0
2015,Startup_64,AI,Mumbai,Series E,637.11,637110000.0
2015,Startup_65,FinTech,Hyderabad,Series E,760.96,760960000.0
2015,Startup_66,FoodTech,Chennai,Pre-Seed,425.64,425640000.0
2015,Startup_67,FinTech,Kolkata,Series F,236.9,236900000.0
2015,Startup_68,CleanTech,Hyderabad,Series B,64.85,64849999.99999999
2015,Startup_69,CleanTech,Kolkata,Series D,563.25,563250000.0
2015,Startup_70,EdTech,Delhi,Series A,306.4,306400000.0
2015,Startup_71,AgriTech,Hyderabad,Seed,347.05,347050000.0
2015,Startup_72,Gaming,Hyderabad,Series D,611.29,611290000.0
2015,Startup_73,AI,Hyderabad,Angel,485.96,485960000.0
2015,Startup_74,Gaming,Noida,Series F,428.15,428150000.0
2015,Startup_75,SpaceTech,Mumbai,Pre-Seed,297.7,297700000.0
2015,Startup_76,AI,Noida,Series E,603.4,603400000.0
2015,Startup_77,AgriTech,Gurgaon,Series F,636.59,636590000.0
2015,Startup_78,FinTech,Pune,Series E,340.32,340320000.0
2015,Startup_79,FoodTech,Hyderabad,Series A,600.05,600050000.0
2015,Startup_80,AgriTech,Delhi,Private Equity,270.22,270220000.0
2015,Startup_81,Mobility,Pune,Angel,421.51,421510000.0
2015,Startup_82,FinTech,Hyderabad,Series C,753.36,753360000.0
2015,Startup_83,SpaceTech,Hyderabad,Angel,442.96,442960000.0
2015,Startup_84,E-commerce,Kolkata,Series B,47.8,47800000.0
2015,Startup_85,E-commerce,Hyderabad,Seed,793.19,793190000.0
2015,Startup_86,EdTech,Delhi,Series B,501.06,501060000.0
2015,Startup_87,FoodTech,Delhi,Angel,392.52,392520000.0
2015,Startup_88,HealthTech,Bengaluru,Series F,629.07,629070000.0
2015,Startup_89,E-commerce,Noida,Private Equity,213.76,213760000.0
2015,Startup_90,Gaming,Mumbai,Angel,261.37,261370000.0
2015,Startup_91,CleanTech,Delhi,Seed,285.41,285410000.0
2015,Startup_92,Mobility,Delhi,Series A,610.47,610470000.0
2015,Startup_93,FinTech,Kolkata,Series A,109.37,109370000.0
2015,Startup_94,CleanTech,Kolkata,Angel,142.22,142220000.0
2015,Startup_95,SpaceTech,Bengaluru,Series C,544.21,544210000.0
2015,Startup_96,CleanTech,Mumbai,Angel,134.98,134980000.0
2015,Startup_97,HealthTech,Noida,Series E,546.37,546370000.0
2015,Startup_98,CleanTech,Delhi,Angel,274.72,274720000.0
2015,Startup_99,AI,Kolkata,Series D,505.89,505890000.0
2015,Startup_100,SpaceTech,Mumbai,Seed,341.55,341550000.0
2015,Startup_101,AI,Kolkata,Pre-Seed,689.08,689080000.0
2015,Startup_102,HealthTech,Noida,Series B,291.3,291300000.0
2015,Startup_103,Mobility,Noida,Private Equity,428.82,428820000.0
2015,Startup_104,SaaS,Mumbai,Angel,784.08,784080000.0
2015,Startup_105,Mobility,Mumbai,Pre-Seed,204.38,204380000.0
2015,Startup_106,E-commerce,Mumbai,Series F,9.83,9830000.0
2015,Startup_107,AI,Kolkata,Pre-Seed,641.56,641560000.0
2015,Startup_108,FinTech,Bengaluru,Series A,739.46,739460000.0
2015,Startup_109,Gaming,Bengaluru,Series C,799.22,799220000.0
2015,Startup_110,FinTech,Pune,Seed,720.6,720600000.0
2015,Startup_111,AgriTech,Gurgaon,Series B,570.54,570540000.0
2015,Startup_112,Mobility,Noida,Angel,479.13,479130000.0
2015,Startup_113,SpaceTech,Mumbai,Series F,624.8,624800000.0
2015,Startup_114,CleanTech,Chennai,Series F,283.71,283710000.0
2015,Startup_115,CleanTech,Delhi,Series F,675.27,675270000.0
2015,Startup_116,CleanTech,Hyderabad,Seed,277.33,277330000.0
2015,Startup_117,Gaming,Delhi,Series D,601.58,601580000.0
2015,Startup_118,FoodTech,Gurgaon,Series E,64.35,64349999.99999999
2015,Startup_119,FoodTech,Delhi,Series D,600.9,600900000.0
2015,Startup_120,EdTech,Delhi,Pre-Seed,240.43,240430000.0
2015,Startup_121,E-commerce,Kolkata,Pre-Seed,67.52,67520000.0
2015,Startup_122,AI,Chennai,Angel,584.6,584600000.0
2015,Startup_123,SpaceTech,Mumbai,Pre-Seed,791.05,791050000.0
2015,Startup_124,FinTech,Bengaluru,Series D,152.66,152660000.0
2015,Startup_125,HealthTech,Kolkata,Series E,570.82,570820000.0
2015,Startup_126,FinTech,Gurgaon,Seed,135.4,135400000.0
2015,Startup_127,E-commerce,Bengaluru,Series E,262.93,262930000.0
2015,Startup_128,HealthTech,Hyderabad,Private Equity,376.35,376350000.0
2015,Startup_129,CleanTech,Noida,Series B,587.17,587170000.0
2015,Startup_130,Gaming,Gurgaon,Seed,42.18,42180000.0
2015,Startup_131,FoodTech,Mumbai,Series F,42.23,42230000.0
2015,Startup_132,AgriTech,Mumbai,Pre-Seed,788.91,788910000.0
2015,Startup_133,EdTech,Bengaluru,Series C,31.88,31880000.0
2015,Startup_134,E-commerce,Kolkata,Private Equity,453.12,453120000.0
2015,Startup_135,CleanTech,Kolkata,Series C,349.14,349140000.0
2015,Startup_136,FinTech,Bengaluru,Angel,492.04,492040000.0
2015,Startup_137,CleanTech,Pune,Series B,505.77,505770000.0
2015,Startup_138,SpaceTech,Noida,Series C,366.72,366720000.0
2015,Startup_139,CleanTech,Chennai,Series C,650.53,650530000.0
2015,Startup_140,Gaming,Pune,Series B,443.0,443000000.0
2015,Startup_141,FoodTech,Kolkata,Series B,258.96,258959999.99999997
2015,Startup_142,Mobility,Mumbai,Series C,264.82,264820000.0
2015,Startup_143,CleanTech,Noida,Private Equity,784.41,784410000.0
2015,Startup_144,FinTech,Bengaluru,Series F,367.32,367320000.0
2015,Startup_145,HealthTech,Delhi,Series D,585.12,585120000.0
2015,Startup_146,CleanTech,Hyderabad,Angel,158.7,158700000.0
2015,Startup_147,FoodTech,Gurgaon,Series A,178.05,178050000.0
2015,Startup_148,HealthTech,Mumbai,Series C,798.71,798710000.0
2015,Startup_149,AgriTech,Delhi,Private Equity,445.24,445240000.0
2015,Startup_150,SaaS,Mumbai,Series C,396.38,396380000.0
2015,Startup_151,E-commerce,Hyderabad,Seed,636.71,636710000.0
2015,Startup_152,CleanTech,Gurgaon,Series D,24.92,24920000.0
2015,Startup_153,SpaceTech,Noida,Series E,584.81,584810000.0
2015,Startup_154,CleanTech,Kolkata,Series F,205.21,205210000.0
2015,Startup_155,Mobility,Hyderabad,Series D,740.84,740840000.0
2015,Startup_156,SpaceTech,Chennai,Private Equity,545.19,545190000.0
2015,Startup_157,SaaS,Mumbai,Seed,218.63,218630000.0
2015,Startup_158,E-commerce,Pune,Seed,30.62,30620000.0
2015,Startup_159,SpaceTech,Kolkata,Series D,197.08,197080000.0
2015,Startup_160,FinTech,Mumbai,Pre-Seed,99.75,99750000.0
2015,Startup_161,Gaming,Gurgaon,Series B,7.19,7190000.0
2015,Startup_162,SaaS,Pune,Seed,330.17,330170000.0
2015,Startup_163,EdTech,Chennai,Series B,37.01,37010000.0
2015,Startup_164,CleanTech,Pune,Angel,228.86,228860000.0
2015,Startup_165,FinTech,Noida,Private Equity,369.48,369480000.0
2015,Startup_166,CleanTech,Gurgaon,Pre-Seed,612.97,612970000.0
2015,Startup_167,AgriTech,Chennai,Private Equity,702.96,702960000.0
2015,Startup_168,Gaming,Kolkata,Private Equity,221.83,221830000.0
2015,Startup_169,SaaS,Gurgaon,Series C,283.66,283660000.0
2015,Startup_170,FoodTech,Kolkata,Series C,711.78,711780000.0
2015,Startup_171,EdTech,Hyderabad,Series C,401.23,401230000.0
2015,Startup_172,FoodTech,Delhi,Series E,119.08,119080000.0
2015,Startup_173,CleanTech,Gurgaon,Private Equity,779.51,779510000.0
2015,Startup_174,AI,Chennai,Series E,412.78,412780000.0
2015,Startup_175,Gaming,Kolkata,Series E,489.44,489440000.0
2015,Startup_176,SaaS,Noida,Series E,579.62,579620000.0
2015,Startup_177,HealthTech,Chennai,Series F,792.19,792190000.0
2015,Startup_178,EdTech,Chennai,Angel,415.65,415650000.0
2015,Startup_179,SpaceTech,Gurgaon,Series E,142.42,142420000.0
2015,Startup_180,AI,Noida,Angel,74.4,74400000.0
2015,Startup_181,Mobility,Kolkata,Series D,320.0,320000000.0
2015,Startup_182,Gaming,Delhi,Series D,795.07,795070000.0
2015,Startup_183,FinTech,Delhi,Private Equity,117.57,117570000.0
2015,Startup_184,AI,Delhi,Private Equity,72.89,72890000.0
2015,Startup_185,EdTech,Gurgaon,Pre-Seed,403.5,403500000.0
2015,Startup_186,FoodTech,Bengaluru,Series F,91.77,91770000.0
2015,Startup_187,Mobility,Noida,Series E,571.66,571660000.0
2015,Startup_188,SpaceTech,Noida,Pre-Seed,554.74,554740000.0
2015,Startup_189,AgriTech,Chennai,Series A,188.37,188370000.0
2015,Startup_190,FinTech,Gurgaon,Series F,191.72,191720000.0
2015,Startup_191,CleanTech,Bengaluru,Pre-Seed,205.9,205900000.0
2015,Startup_192,EdTech,Delhi,Series E,589.17,589170000.0
2015,Startup_193,HealthTech,Pune,Series B,582.04,582040000.0
2015,Startup_194,Mobility,Chennai,Series F,761.5,761500000.0
2015,Startup_195,E-commerce,Kolkata,Series C,136.6,136600000.0
2015,Startup_196,FinTech,Chennai,Series D,768.07,768070000.0
2015,Startup_197,AI,Gurgaon,Pre-Seed,371.4,371400000.0
2015,Startup_198,HealthTech,Bengaluru,Series B,214.05,214050000.0
2015,Startup_199,SaaS,Kolkata,Angel,781.81,781810000.0
2015,Startup_200,E-commerce,Delhi,Series D,107.0,107000000.0
2015,Startup_201,E-commerce,Mumbai,Series D,395.57,395570000.0
2015,Startup_202,HealthTech,Chennai,Series A,397.65,397650000.0
2015,Startup_203,EdTech,Mumbai,Series D,745.43,745430000.0
2015,Startup_204,AI,Chennai,Series B,788.89,788890000.0
2015,Startup_205,E-commerce,Hyderabad,Series A,581.13,581130000.0
2015,Startup_206,FoodTech,Kolkata,Series F,127.1,127100000.0
2015,Startup_207,E-commerce,Gurgaon,Private Equity,480.11,480110000.0
2015,Startup_208,SaaS,Bengaluru,Seed,424.25,424250000.0
2015,Startup_209,EdTech,Gurgaon,Series B,789.97,789970000.0
2015,Startup_210,HealthTech,Gurgaon,Pre-Seed,442.87,442870000.0
2015,Startup_211,E-commerce,Pune,Series D,701.67,701670000.0
2015,Startup_212,HealthTech,Delhi,Private Equity,621.13,621130000.0
2015,Startup_213,FoodTech,Gurgaon,Series A,298.35,298350000.0
2015,Startup_214,Mobility,Bengaluru,Pre-Seed,52.18,52180000.0
2015,Startup_215,SaaS,Chennai,Series C,237.87,237870000.0
2015,Startup_216,AgriTech,Delhi,Angel,78.63,78630000.0
2015,Startup_217,AI,Delhi,Series E,439.44,439440000.0
2015,Startup_218,EdTech,Noida,Series B,274.35,274350000.0
2015,Startup_219,HealthTech,Kolkata,Angel,799.05,799050000.0
2015,Startup_220,E-commerce,Noida,Series E,779.16,779160000.0
2016,Startup_1,Gaming,Kolkata,Private Equity,562.06,562060000.0
2016,Startup_2,FoodTech,Gurgaon,Seed,714.5,714500000.0
2016,Startup_3,CleanTech,Pune,Series E,427.82,427820000.0
2016,Startup_4,SaaS,Hyderabad,Seed,254.8,254800000.0
2016,Startup_5,AI,Delhi,Seed,603.62,603620000.0
2016,Startup_6,FoodTech,Hyderabad,Seed,557.64,557640000.0
2016,Startup_7,SaaS,Chennai,Angel,533.27,533270000.0
2016,Startup_8,AgriTech,Pune,Pre-Seed,734.43,734430000.0
2016,Startup_9,SaaS,Bengaluru,Series C,110.41,110410000.0
2016,Startup_10,HealthTech,Gurgaon,Series E,559.88,559880000.0
2016,Startup_11,EdTech,Chennai,Series A,677.92,677920000.0
2016,Startup_12,CleanTech,Delhi,Seed,631.33,631330000.0
2016,Startup_13,SpaceTech,Noida,Series F,793.48,793480000.0
2016,Startup_14,E-commerce,Kolkata,Series F,604.17,604170000.0
2016,Startup_15,FoodTech,Bengaluru,Series F,297.89,297890000.0
2016,Startup_16,EdTech,Delhi,Seed,249.39,249390000.0
2016,Startup_17,Gaming,Noida,Series C,618.8,618800000.0
2016,Startup_18,HealthTech,Gurgaon,Private Equity,268.85,268850000.0
2016,Startup_19,FoodTech,Chennai,Series D,480.91,480910000.0
2016,Startup_20,EdTech,Pune,Series E,44.39,44390000.0
2016,Startup_21,E-commerce,Delhi,Pre-Seed,355.4,355400000.0
2016,Startup_22,SaaS,Hyderabad,Angel,464.08,464080000.0
2016,Startup_23,FoodTech,Kolkata,Series A,93.59,93590000.0
2016,Startup_24,AI,Hyderabad,Series C,763.61,763610000.0
2016,Startup_25,FoodTech,Chennai,Seed,260.28,260279999.99999997
2016,Startup_26,AI,Pune,Pre-Seed,223.34,223340000.0
2016,Startup_27,SpaceTech,Delhi,Pre-Seed,338.36,338360000.0
2016,Startup_28,SaaS,Hyderabad,Series A,532.05,532049999.99999994
2016,Startup_29,EdTech,Hyderabad,Series B,273.88,273880000.0
2016,Startup_30,FoodTech,Pune,Angel,311.66,311660000.0
2016,Startup_31,FoodTech,Chennai,Series B,57.48,57480000.0
2016,Startup_32,E-commerce,Bengaluru,Angel,651.66,651660000.0
2016,Startup_33,CleanTech,Mumbai,Series D,108.18,108180000.0
2016,Startup_34,SpaceTech,Delhi,Series A,157.18,157180000.0
2016,Startup_35,Gaming,Pune,Series D,308.01,308010000.0
2016,Startup_36,AgriTech,Hyderabad,Pre-Seed,336.73,336730000.0
2016,Startup_37,SaaS,Hyderabad,Series E,511.58,511580000.0
2016,Startup_38,SaaS,Pune,Private Equity,751.59,751590000.0
2016,Startup_39,Mobility,Hyderabad,Series F,533.71,533710000.00000006
2016,Startup_40,EdTech,Mumbai,Series B,616.24,616240000.0
2016,Startup_41,FoodTech,Noida,Series E,370.54,370540000.0
2016,Startup_42,AI,Delhi,Series E,2.95,2950000.0
2016,Startup_43,SaaS,Noida,Private Equity,488.84,488840000.0
2016,Startup_44,FinTech,Gurgaon,Seed,682.99,682990000.0
2016,Startup_45,AI,Gurgaon,Series A,579.38,579380000.0
2016,Startup_46,EdTech,Mumbai,Series C,658.74,658740000.0
2016,Startup_47,AgriTech,Hyderabad,Pre-Seed,391.5,391500000.0
2016,Startup_48,EdTech,Mumbai,Seed,46.68,46680000.0
2016,Startup_49,FoodTech,Delhi,Series E,182.88,182880000.0
2016,Startup_50,SaaS,Delhi,Series A,29.29,29290000.0
2016,Startup_51,EdTech,Pune,Series C,619.12,619120000.0
2016,Startup_52,Gaming,Hyderabad,Series D,162.23,162230000.0
2016,Startup_53,E-commerce,Gurgaon,Series F,422.15,422150000.0
2016,Startup_54,FinTech,Kolkata,Seed,229.47,229470000.0
2016,Startup_55,AI,Delhi,Series A,400.66,400660000.0
2016,Startup_56,FoodTech,Bengaluru,Series E,627.38,627380000.0
2016,Startup_57,Gaming,Gurgaon,Pre-Seed,382.29,382290000.0
2016,Startup_58,AI,Hyderabad,Angel,242.85,242850000.0
2016,Startup_59,HealthTech,Hyderabad,Angel,428.43,428430000.0
2016,Startup_60,FinTech,Bengaluru,Seed,454.09,454090000.0
2016,Startup_61,AgriTech,Bengaluru,Private Equity,657.15,657150000.0
2016,Startup_62,EdTech,Pune,Private Equity,554.75,554750000.0
2016,Startup_63,Gaming,Bengaluru,Angel,415.61,415610000.0
2016,Startup_64,SaaS,Chennai,Pre-Seed,93.88,93880000.0
2016,Startup_65,HealthTech,Hyderabad,Series D,2.66,2660000.0
2016,Startup_66,SaaS,Delhi,Series A,343.71,343710000.0
2016,Startup_67,FoodTech,Hyderabad,Private Equity,451.23,451230000.0
2016,Startup_68,Mobility,Pune,Pre-Seed,621.68,621680000.0
2016,Startup_69,HealthTech,Gurgaon,Angel,421.01,421010000.0
2016,Startup_70,AgriTech,Chennai,Series A,755.45,755450000.0
2016,Startup_71,FoodTech,Chennai,Seed,784.16,784160000.0
2016,Startup_72,FinTech,Pune,Pre-Seed,720.79,720790000.0
2016,Startup_73,FoodTech,Bengaluru,Private Equity,210.34,210340000.0
2016,Startup_74,Mobility,Hyderabad,Series C,439.1,439100000.0
2016,Startup_75,EdTech,Chennai,Angel,685.93,685930000.0
2016,Startup_76,EdTech,Noida,Angel,129.5,129500000.0
2016,Startup_77,Mobility,Kolkata,Private Equity,540.24,540240000.0
2016,Startup_78,FinTech,Gurgaon,Series F,710.43,710430000.0
2016,Startup_79,AI,Delhi,Series B,584.67,584670000.0
2016,Startup_80,HealthTech,Gurgaon,Series D,567.46,567460000.0
2016,Startup_81,FinTech,Pune,Series E,72.89,72890000.0
2016,Startup_82,Gaming,Mumbai,Series E,739.76,739760000.0
2016,Startup_83,FinTech,Pune,Series D,490.71,490710000.0
2016,Startup_84,SpaceTech,Kolkata,Pre-Seed,21.44,21440000.0
2016,Startup_85,Gaming,Gurgaon,Angel,26.25,26250000.0
2016,Startup_86,AI,Hyderabad,Angel,143.89,143890000.0
2016,Startup_87,EdTech,Delhi,Series F,536.31,536309999.99999994
2016,Startup_88,SpaceTech,Pune,Series A,559.88,559880000.0
2016,Startup_89,AgriTech,Pune,Series B,776.04,776040000.0
2016,Startup_90,SpaceTech,Hyderabad,Series F,606.46,606460000.0
2016,Startup_91,AI,Delhi,Series E,693.41,693410000.0
2016,Startup_92,AgriTech,Delhi,Series D,621.84,621840000.0
2016,Startup_93,FinTech,Chennai,Angel,206.49,206490000.0
2016,Startup_94,EdTech,Chennai,Angel,283.01,283010000.0
2016,Startup_95,SpaceTech,Pune,Series F,759.28,759280000.0
2016,Startup_96,HealthTech,Mumbai,Seed,703.74,703740000.0
2016,Startup_97,HealthTech,Chennai,Series F,195.99,195990000.0
2016,Startup_98,FinTech,Bengaluru,Seed,39.25,39250000.0
2016,Startup_99,SaaS,Mumbai,Series C,9.54,9540000.0
2016,Startup_100,AI,Hyderabad,Seed,193.86,193860000.0
2016,Startup_101,AgriTech,Noida,Series E,595.0,595000000.0
2016,Startup_102,SpaceTech,Pune,Series B,424.72,424720000.0
2016,Startup_103,EdTech,Pune,Pre-Seed,251.42,251420000.0
2016,Startup_104,FoodTech,Hyderabad,Series A,90.63,90630000.0
2016,Startup_105,SpaceTech,Chennai,Series A,663.88,663880000.0
2016,Startup_106,Gaming,Delhi,Series F,275.59,275590000.0
2016,Startup_107,AI,Mumbai,Series B,747.13,747130000.0
2016,Startup_108,FinTech,Delhi,Series F,142.5,142500000.0
2016,Startup_109,HealthTech,Pune,Series C,600.26,600260000.0
2016,Startup_110,AI,Bengaluru,Series E,503.56,503560000.0
2016,Startup_111,EdTech,Mumbai,Series F,603.04,603040000.0
2016,Startup_112,FinTech,Chennai,Series F,417.38,417380000.0
2016,Startup_113,Gaming,Mumbai,Pre-Seed,664.54,664540000.0
2016,Startup_114,CleanTech,Delhi,Private Equity,693.82,693820000.0
2016,Startup_115,AI,Hyderabad,Series A,724.86,724860000.0
2016,Startup_116,CleanTech,Delhi,Private Equity,235.49,235490000.0
2016,Startup_117,Mobility,Gurgaon,Private Equity,278.01,278010000.0
2016,Startup_118,Gaming,Pune,Series E,81.64,81640000.0
2016,Startup_119,FinTech,Delhi,Pre-Seed,3.27,3270000.0
2016,Startup_120,SaaS,Bengaluru,Seed,233.74,233740000.0
2016,Startup_121,FoodTech,Chennai,Seed,333.45,333450000.0
2016,Startup_122,AI,Noida,Private Equity,772.87,772870000.0
2016,Startup_123,FoodTech,Delhi,Series C,670.54,670540000.0
2016,Startup_124,FinTech,Delhi,Angel,250.87,250870000.0
2016,Startup_125,Gaming,Pune,Series A,110.14,110140000.0
2016,Startup_126,E-commerce,Chennai,Series B,502.13,502130000.0
2016,Startup_127,AI,Bengaluru,Seed,595.54,595540000.0
2016,Startup_128,FoodTech,Kolkata,Series C,124.57,124570000.0
2016,Startup_129,Gaming,Delhi,Series D,96.29,96290000.0
2016,Startup_130,HealthTech,Bengaluru,Series D,585.89,585890000.0
2016,Startup_131,AgriTech,Delhi,Series F,749.32,749320000.0
2016,Startup_132,FoodTech,Delhi,Series C,780.31,780310000.0
2016,Startup_133,FoodTech,Hyderabad,Series E,314.79,314790000.0
2016,Startup_134,CleanTech,Chennai,Angel,161.01,161010000.0
2016,Startup_135,Gaming,Bengaluru,Pre-Seed,727.29,727290000.0
2016,Startup_136,Mobility,Kolkata,Series A,692.05,692050000.0
2016,Startup_137,AgriTech,Hyderabad,Series C,739.53,739530000.0
2016,Startup_138,HealthTech,Bengaluru,Series C,698.87,698870000.0
2016,Startup_139,FinTech,Mumbai,Series E,97.24,97240000.0
2016,Startup_140,AI,Chennai,Series C,413.48,413480000.0
2016,Startup_141,HealthTech,Noida,Private Equity,503.78,503780000.0
2016,Startup_142,Gaming,Hyderabad,Pre-Seed,760.83,760830000.0
2016,Startup_143,SpaceTech,Hyderabad,Series E,331.98,331980000.0
2016,Startup_144,FinTech,Mumbai,Seed,456.66,456660000.0
2016,Startup_145,Gaming,Hyderabad,Series E,231.44,231440000.0
2016,Startup_146,FinTech,Chennai,Series C,256.72,256720000.00000003
2016,Startup_147,AgriTech,Noida,Series F,688.08,688080000.0
2016,Startup_148,EdTech,Noida,Series D,559.39,559390000.0
2016,Startup_149,EdTech,Chennai,Series F,745.7,745700000.0
2016,Startup_150,SpaceTech,Delhi,Series A,125.77,125770000.0
2016,Startup_151,E-commerce,Delhi,Series E,450.9,450900000.0
2016,Startup_152,E-commerce,Noida,Private Equity,678.94,678940000.0
2016,Startup_153,AI,Hyderabad,Series C,656.76,656760000.0
2016,Startup_154,SaaS,Noida,Series B,150.82,150820000.0
2016,Startup_155,HealthTech,Noida,Series E,533.82,533820000.00000006
2016,Startup_156,SpaceTech,Mumbai,Seed,760.09,760090000.0
2016,Startup_157,EdTech,Delhi,Pre-Seed,308.61,308610000.0
2016,Startup_158,FoodTech,Kolkata,Series E,786.91,786910000.0
2016,Startup_159,CleanTech,Noida,Pre-Seed,195.08,195080000.0
2016,Startup_160,Mobility,Bengaluru,Series B,58.05,58050000.0
2016,Startup_161,E-commerce,Mumbai,Seed,376.22,376220000.0
2016,Startup_162,EdTech,Noida,Angel,159.34,159340000.0
2016,Startup_163,AI,Chennai,Pre-Seed,284.75,284750000.0
2016,Startup_164,AgriTech,Bengaluru,Private Equity,291.29,291290000.0
2016,Startup_165,SpaceTech,Chennai,Seed,427.89,427890000.0
2016,Startup_166,SpaceTech,Hyderabad,Seed,788.35,788350000.0
2016,Startup_167,FoodTech,Mumbai,Angel,502.8,502800000.0
2016,Startup_168,Gaming,Pune,Seed,720.49,720490000.0
2016,Startup_169,Gaming,Delhi,Series D,527.99,527990000.0
2016,Startup_170,Mobility,Mumbai,Series E,216.61,216610000.0
2016,Startup_171,HealthTech,Mumbai,Angel,90.59,90590000.0
2016,Startup_172,HealthTech,Bengaluru,Series F,183.46,183460000.0
2016,Startup_173,FoodTech,Kolkata,Series A,585.26,585260000.0
2016,Startup_174,SaaS,Pune,Seed,198.57,198570000.0
2016,Startup_175,FoodTech,Noida,Series D,372.83,372830000.0
2016,Startup_176,SaaS,Mumbai,Series C,51.35,51350000.0
2016,Startup_177,FinTech,Pune,Angel,795.1,795100000.0
2016,Startup_178,Mobility,Delhi,Series A,389.15,389150000.0
2016,Startup_179,SpaceTech,Kolkata,Series E,25.59,25590000.0
2016,Startup_180,SpaceTech,Mumbai,Series B,513.95,513950000.00000006
